18.06.2023	71730
19.06.2023	71940
20.06.2023	72540
21.06.2023	72870
22.06.2023	72720
23.06.2023	73310
24.06.2023	73112
25.06.2023	73464
26.06.2023	73646
27.06.2023	74160
28.06.2023	73410
29.06.2023	73980
30.06.2023	73650
01.07.2023	74130
02.07.2023	73770
03.07.2023	73890
04.07.2023	74160
05.07.2023	73440
06.07.2023	75210
07.07.2023	74220
08.07.2023	74190
09.07.2023	74085
10.07.2023	73815
11.07.2023	74190
12.07.2023	74370
13.07.2023	73942
14.07.2023	74220
15.07.2023	74160
16.07.2023	74330
17.07.2023	73923
18.07.2023	74499
19.07.2023	73890
20.07.2023	74100
21.07.2023	73950
22.07.2023	73314
23.07.2023	73762
24.07.2023	74490
25.07.2023	73680
26.07.2023	73770
27.07.2023	73500
28.07.2023	73440
29.07.2023	73410
30.07.2023	73920
31.07.2023	73650
01.08.2023	73710
02.08.2023	73620
03.08.2023	73557
04.08.2023	73950
05.08.2023	73770
06.08.2023	73890
07.08.2023	73770
08.08.2023	73644
09.08.2023	73521
10.08.2023	73549
11.08.2023	73487
12.08.2023	73968
13.08.2023	73550
14.08.2023	73530
15.08.2023	73585
16.08.2023	73440
17.08.2023	73410
18.08.2023	72520
19.08.2023	73312
20.08.2023	74114
21.08.2023	73570
22.08.2023	73550
23.08.2023	73470
24.08.2023	73375
